Spectrum File,Sample #,Microplastic number (P),Resolution (cm^{-1}),Number of scans,Dimensions of ATR (um),ATR pressure (ATR only),Likely substrate,FTIR Mode,Date,Notes,
903511_P7_reflectance_8cm_2scan_LA_25um.map,903511,7,8,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P7_reflectance_16cm_128scan_LA_25um.map,903511,7,16,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P7_reflectance_16cm_16scan_LA_25um.map,903511,7,16,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P7_reflectance_16cm_2scan_LA_25um.map,903511,7,16,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P7_ATR_4cm_128scan_40umAPT_GeATR_MCT_10.SPA,903511,7,4,128,40x40,10,,ATR,<2021-05-17 Mon>,"Noisey spec, inconclusive. Particle looked whiter after ATR (salt)",
903511_P7_ATR_4cm_128scan_40umAPT_GeATR_MCT_30.SPA,903511,7,4,128,40x40,30,,ATR,<2021-05-17 Mon>,,
903511_P8_reflectance_4cm_128scan_LA_25um.map,903511,8,4,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_4cm_16scan_LA_25um.map,903511,8,4,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_4cm_2scan_LA_25um.map,903511,8,4,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_8cm_128scan_LA_25um.map,903511,8,8,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_8cm_16scan_LA_25um.map,903511,8,8,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_8cm_2scan_LA_25um.map,903511,8,8,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_16cm_128scan_LA_25um.map,903511,8,16,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_16cm_16scan_LA_25um.map,903511,8,16,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_reflectance_16cm_2scan_LA_25um.map,903511,8,16,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P8_ATR_4cm_128scan_40umAPT_GeATR_MCT_10.SPA,903511,8,4,128,40x40,10,,ATR,<2021-05-17 Mon>,Noisey,
903511_P8_ATR_4cm_128scan_40umAPT_GeATR_MCT_30.SPA,903511,8,4,128,40x40,30,,ATR,<2021-05-17 Mon>,"Clearer, but not plastic peaks",
903511_P9_reflectance_4cm_128scan_LA_25um.map,903511,9,4,128,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_4cm_16scan_LA_25um.map,903511,9,4,16,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_4cm_2scan_LA_25um.map,903511,9,4,2,,,,reflectance,<2021-05-17 Mon>,,
903511_P9_reflectance_8cm_128scan_LA_25um.map,903511,9,8,128,,,,reflectance,<2021-05-17 Mon>,,
